Assembly_ID	Species_Name
GCA_000007325.1	Fusobacterium nucleatum subsp. nucleatum ATCC 25586
GCA_000008085.1	Nanoarchaeum equitans Kin4-M
GCA_000008885.1	Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis DNA
GCA_000009845.1	Onion yellows phytoplasma OY-M DNA
GCA_000010565.1	Pelotomaculum thermopropionicum SI DNA
GCA_000010645.1	Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2 DNA
GCA_000011445.1	Mycoplasma mycoides subsp. mycoides SC str. PG1
GCA_000012145.1	Rickettsia felis URRWXCal2
GCA_000013185.1	Baumannia cicadellinicola str. Hc (Homalodisca coagulata)
GCA_000014225.1	Pseudoalteromonas atlantica T6c
GCA_000016325.1	Enterobacter sp. 638
GCA_000016605.1	Metallosphaera sedula DSM 5348
GCA_000016765.1	Sphingomonas wittichii RW1
GCA_000017245.1	Actinobacillus succinogenes 130Z
GCA_000017645.1	Xanthobacter autotrophicus Py2
GCA_000018545.1	Sinorhizobium fredii NGR234
GCA_000018565.1	Herpetosiphon aurantiacus DSM 785
GCA_000020605.1	Agathobacter rectalis ATCC 33656
GCA_000023725.1	Flavobacteriaceae bacterium 3519-10
GCA_000024525.1	Spirosoma linguale DSM 74
GCA_000026125.1	Herminiimonas arsenicoxydans chromosome
GCA_000027065.2	Cronobacter turicensis z3032 complete genome
GCA_000043285.1	Blochmannia floridanus complete genome
GCA_000063505.1	Synechococcus WH7803 complete genome sequence
GCA_000063525.1	Synechococcus sp. RCC307 genomic DNA sequence
GCA_000069925.1	Candidatus Phytoplasma australiense complete genome
GCA_000091165.1	Candidatus Methylomirabilis oxyfera complete genome
GCA_000143165.1	Dehalogenimonas lykanthroporepellens BL-DC-9
GCA_000145985.1	Ignisphaera aggregans DSM 17230
GCA_000146855.1	Eubacterium yurii subsp. margaretiae ATCC 43715 genomic SCAFFOLD1
GCA_000147015.1	Candidatus Zinderia insecticola CARI
GCA_000153145.1	marine actinobacterium PHSC20C1 scf_1099646003201 genomic
GCA_000153385.1	Flavobacteria bacterium BBFL7 scf_1099451317782 genomic
GCA_000153445.1	marine gamma proteobacterium HTCC2207 scf_1099215844476 genomic
GCA_000153745.1	alpha proteobacterium HTCC2255 scf_1100007007381 genomic
GCA_000154345.1	Clostridium leptum DSM 753 Scfld_02_20 genomic
GCA_000155435.1	Clostridiales bacterium 1_7_47_FAA supercont2.108 genomic
GCA_000155695.1	Verrucomicrobiae bacterium DG1235 scf_1104243000194 genomic
GCA_000155715.1	gamma proteobacterium HTCC5015 scf_1106129323653 genomic
GCA_000156115.1	Rhodobacteraceae bacterium HTCC2083 scf_1106200183018 genomic
GCA_000156155.1	beta proteobacterium KB13 scf_1106380163076 genomic
GCA_000156295.1	marine gamma proteobacterium HTCC2148 scf_1106774214183 genomic
GCA_000158135.1	Rhodobacteraceae bacterium KLH11 scf_1108856220447 genomic
GCA_000158155.1	gamma proteobacterium NOR5-3 scf_1108854218891 genomic
GCA_000158655.1	Clostridium methylpentosum DSM 5476 Scfld365 genomic
GCA_000161775.1	Silicibacter lacuscaerulensis ITI-1157 genomic scf_1113211289287
GCA_000161975.1	Eubacterium saphenum ATCC 49989 genomic Scfld0
GCA_000163555.2	Alpha proteobacterium HIMB114 HIMB114_HIMB114
GCA_000163695.1	Bacteroidetes oral taxon 274 str. F0058 genomic supercont1.10
GCA_000163995.1	Campylobacter jejuni subsp. jejuni 414 chromosome
GCA_000166735.2	UNVERIFIED_ORG: Leuconostoc inhae KCTC 3774 contig00909
GCA_000168735.1	Candidatus Endoriftia persephone str. Hot96_1+Hot96_2 EP_v01.Ctg2472
GCA_000168995.1	Methylophilales bacterium HTCC2181 1100893002533
GCA_000169075.1	Marine gamma proteobacterium HTCC2143 1100111000165
GCA_000169115.1	Marine gamma proteobacterium HTCC2080 1100755000516
GCA_000169355.1	Flavobacteria bacterium BAL38 1101699887702
GCA_000169395.1	Rhodobacteraceae bacterium HTCC2150 1101159006509
GCA_000169995.1	Vibrionales bacterium SWAT-3 1101732140601
GCA_000170815.1	Unidentified eubacterium SCB49 1103407000294
GCA_000171835.1	Alpha proteobacterium BAL199 1103548001440
GCA_000171875.1	Flavobacteriales bacterium ALC-1 1103813602118
GCA_000173115.1	Flavobacteria bacterium MS024-3C ctg68
GCA_000173575.1	Burkholderia sp. H160 ctg00284
GCA_000174895.1	Ruminococcus flavefaciens FD-1 Contig126
GCA_000175855.1	Raphidiopsis brookii D9 D9_8
GCA_000176735.1	Neisseria polysaccharea ATCC 43768 N_polysaccharea-1.0.1_Cont284.1
GCA_000179315.1	Delta proteobacterium NaphS2 ctg_1101087562147
GCA_000182945.1	Fusobacterium vincentii ATCC 49256 Contig0377
GCA_000183865.1	Listeria marthii FSL S4-120 chromosome
GCA_000193795.2	Neisseria lactamica NS19 contig00132
GCA_000195205.2	Oxalobacteraceae bacterium IMCC9480 ctg_8777
GCA_000196815.1	Candidatus Nitrospira defluvii
GCA_000198515.1	gamma proteobacterium HdN1 complete genome
GCA_000200715.1	Cenarchaeum symbiosum A
GCA_000204585.1	Candidatus Nitrosoarchaeum limnia SFB1 chromosome
GCA_000205985.2	uncultured SUP05 cluster bacterium genomic Scf_Contig34506
GCA_000209465.1	Lachnospiraceae oral taxon 107 str. F0167 genomic supercont1.1
GCA_000209515.2	Gamma proteobacterium IMCC1989 ctg_1655
GCA_000209815.1	Butyrivibrio fibrisolvens 16/4 draft genome
