Assembly_ID	Species_Name
GCA_000359685.2	Pyrenochaeta sp. UM 256
GCA_000573905.2	Oryza punctata
GCA_000733025.2	Penicillium nordicum
GCA_000733645.1	Beauveria rudraprayagi
GCA_000827315.1	Piloderma croceum
GCA_000950635.1	Mrakia blollopis
GCA_001599115.1	[Candida] sorboxylosa
GCA_001630435.1	Sporothrix globosa
GCA_002946385.1	Rutstroemia sp. NJR-2017a WRK4
GCA_003116535.1	Paecilomyces niveus
GCA_003286495.1	Chlorodrepanis virens
GCA_004114325.1	Zoophagus insidians
GCA_004156025.2	Alternaria gaisen
GCA_004764505.1	Scenedesmus vacuolatus
GCA_005815305.1	Pandalus platyceros
GCA_008080845.1	Phytophthora kernoviae
GCA_009617715.1	Plectrocnemia conspersa
GCA_009805295.1	Neurospora sp. FGSC 6877
GCA_009938135.1	Malassezia furfur
GCA_010015015.2	Bolitophila cinerea
GCA_011114355.1	Carex littledalei
GCA_012934285.1	Ophiocordyceps sinensis
GCA_013387435.1	Daphnia dubia
GCA_013397155.1	Irena cyanogastra
GCA_013398125.1	Aegotheles bennettii
GCA_013399915.1	Illadopsis cleaveri
GCA_014826065.1	Anthracocystis panici-leucophaei
GCA_014964245.1	Nannizziopsis barbatae
GCA_015342085.1	Leptinotarsa defecta
GCA_015342445.1	Digitaria exilis
GCA_015476325.1	Cardiosporidium cionae
GCA_015776775.1	Magallana hongkongensis
GCA_017139535.1	Trichocladium uniseriatum
GCA_017589665.1	Selenicereus undatus
GCA_018230145.1	Lepidochrysops patricia
GCA_018230945.1	Gomalia elma
GCA_018237745.1	Emesis diogenia
GCA_018239085.1	Yanguna spatiosa
GCA_018245875.1	Mysoria ambigua
GCA_018245895.1	Jonaspyge jonas
GCA_018246055.1	Celaenorrhinus ficulnea
GCA_018252055.1	Epargyreus spanna
GCA_018417955.1	Laccaria trichodermophora
GCA_018812205.1	Adelognathus sp. PSUC_FEM 10030001
GCA_018874595.1	Drosophila barbarae
GCA_018903765.1	Drosophila aff. chauvacae BK-2020
GCA_019188255.1	Verticillium longisporum
GCA_019327925.1	Leucocoprinus sp. KB1807203
GCA_019431265.1	Saccharomyces bayanus
GCA_019802435.1	Corydoras maculifer
GCA_019828595.1	Aphanomyces cochlioides
GCA_019904355.1	Psilocybe tampanensis
GCA_020521535.1	Rubroshorea leprosula
GCA_020796225.1	Arion vulgaris
GCA_021442155.1	Cymbidium sinense
GCA_022405125.1	Anthidium xuezhongi
GCA_022432505.1	Xylariales sp. AK1849
GCA_022496195.1	Lactifluus subvellereus
GCA_022661535.1	Eutypa lata
GCA_022813745.1	Naganishia kalamii
GCA_023052935.1	Piezodorus guildinii
GCA_023333565.1	Puffinus mauretanicus
GCA_023628275.1	Rhodotorula sp. M30-05A-2
GCA_023653495.1	Melastoma candidum
GCA_023701765.1	Hylyphantes graminicola
GCA_023736055.1	Quercus glauca
GCA_024195185.1	Coniferiporia weirii
GCA_025399235.1	Backusella circina
GCA_025403435.1	Artocarpus heterophyllus
GCA_026284645.1	Erythroxylum acuminatum
GCA_027578015.1	Coemansia sp. RSA 2618
GCA_027579055.1	Coemansia interrupta
GCA_027627225.1	Congeria kusceri
GCA_028566435.1	Scorpiodoras heckelii
GCA_029207755.1	FETCH_FAILED
GCA_029299245.1	Leptographium wingfieldii
GCA_029929735.1	Mimosa pudica
GCA_029945375.1	Agaricus subrufescens
GCA_030168465.1	Pichia terricola
GCA_030265095.1	Desmognathus fuscus
GCA_030295235.1	Fistulifera solaris
GCA_030386735.1	Alternosema astaquatica
GCA_030560905.1	Saturnispora diversa
GCA_030564885.1	Metschnikowia kofuensis (nom. inval.)
GCA_030568365.1	Myxozyma kluyveri
GCA_030570455.1	Priceomyces medius
GCA_030570535.1	Starmera pachycereana
GCA_030572295.1	[Candida] multigemmis
GCA_030572435.1	Candida labiduridarum
GCA_030581595.1	[Candida] blattariae
GCA_030710495.1	Labroides dimidiatus
GCA_030849745.1	Trypanosoma scelopori
GCA_031081805.1	Schwanniomyces etchellsii
GCA_031125595.1	Saccharomycopsis capsularis
GCA_031353405.1	Baronia brevicornis
GCA_031753515.1	Metarhizium rileyi
GCA_031762755.1	Hyacinthus orientalis
GCA_032158295.1	Pycnopodia helianthoides
GCA_032172135.1	FETCH_FAILED
GCA_032468135.1	Calamaria suluensis
GCA_033439115.1	Firmiana major
GCA_034694425.1	Arrhopalites sp. Gr-Col-00791
GCA_034695105.1	Ctenobelba pectinigera
GCA_034783855.1	Mopalia kennerleyi
GCA_035042265.1	Drosophila imparisetae
GCA_035045925.1	Drosophila atripex
GCA_035047745.1	Catamblyrhynchus diadema
GCA_035222195.1	Myioborus miniatus
GCA_035578905.1	Stictocephala bisonia
GCA_035586675.1	Eurytoma californica
GCA_036013995.1	Theobroma grandiflorum
GCA_036172225.1	Cryptocoryne crispatula
GCA_036250105.1	Parasarocladium wereldwijsianum
GCA_036924085.1	Ariolimax columbianus
GCA_036936985.1	Crucibulum cyathiforme
GCA_037177565.1	Pseudomugil signifer
GCA_037414775.1	Zonitis immaculata
GCA_037833965.1	Marchantia polymorpha
GCA_038094095.1	Boletus putidus
GCA_039634435.1	Ascochyta pisi
GCA_900067635.1	Australostichopus mollis
GCA_900074885.1	Rhynchosporium graminicola
GCA_900302295.1	Parasudis fraserbrunneri
GCA_900302745.1	Parablennius parvicornis
GCA_902168415.1	Peromyscus melanophrys
GCA_904067115.1	Aegilops sharonensis
GCA_905147225.2	Euproctis similis
GCA_907164665.1	Colias nastes
GCA_910574455.1	Trichaptum fuscoviolaceum
GCA_911728455.2	Marthasterias glacialis
GCA_916613615.1	FETCH_FAILED
GCA_930367235.1	Sarcophaga rosellei
GCA_943590805.1	Trematomus scotti
GCA_945910035.1	Brachypalpus laphriformis
GCA_947359405.1	Antitype chi
