# Y = found in the Evo2 organism file; N = not found.
# Multiple assembly IDs mean multiple Evo2 assemblies matched the same pathogen.
# Pathogen	Y/N	Assembly_IDs


Agrobacterium rhizogenes	N	
Agrobacterium spp.	Y	GCA_000949895.1;GCA_003241215.1;GCA_014204625.1;GCA_017744915.1;GCA_900012615.1;GCF_000092025.1;GCF_000300855.1;GCF_000739935.1;GCF_000834635.1;GCF_001541315.1;GCF_001541345.2;GCF_001713475.1;GCF_001758275.2;GCF_002008225.1;GCF_002896715.1;GCF_002915175.1;GCF_004310285.1;GCF_005145045.1;GCF_005221325.1;GCF_005221385.1;GCF_009649785.1;GCF_009744115.1;GCF_012276985.1;GCF_013322225.1;GCF_013337285.1;GCF_013426735.1;GCF_014851585.1;GCF_015704895.1;GCF_017726655.1;GCF_021310995.1;GCF_021559775.1;GCF_900102105.1
Agrobacterium tumefaciens	Y	GCA_017744915.1;GCF_000834635.1;GCF_001541315.1;GCF_005221325.1;GCF_005221385.1;GCF_009649785.1;GCF_013337285.1;GCF_017726655.1
Alternaria alternata	N	
Alternaria citri	N	
Alternaria dauci	N	
Alternaria gerberae	N	
Alternaria porri	N	
Alternaria solani	N	
Alternaria spp.	N	
Anisogramma anomala	N	
Apiognomonia veneta	N	
Armillaria mellea	N	
Armillaria spp.	N	
Arthuriomyces peckianus	N	
Ascochyta gerberae	N	
Ascochyta lathyri	N	
Ascochyta spp.	N	
Aspergillus niger	N	
Aster yellows MLO	Y	GCF_000012225.1
Avocado sunblotch viroid	N	
BLTVA (beet leafhopper transmitted virescence agent)	N	
Beet curly top virus (BCTV)	N	
Beet leafhopper transmitted virescence agent (BLTVA)	N	
Bipolaris spp.	N	
Blumeriella jaapii	N	
Botryosphaeria spp.	N	
Botryosphaeria stevensii	N	
Botrytis cinerea	N	
Botrytis narcissicola	N	
Botrytis spp.	N	
Bremia lactucae	N	
Candidatus Liberibacter asiaticus	Y	GCF_000590865.3
Ceratocystis fimbriata	N	
Cercospora carotae	N	
Cercospora spp.	N	
Ciborinia camelliae	N	
Citrus exocortis viroid (CEVd)	N	
Cladosporium (syn. Fusicladium) carpophilum	N	
Cladosporium echinulatum	N	
Cladosporium paeoniae	N	
Clavibacter michiganensis	Y	GCA_002150995.1;GCF_001618005.1;GCF_002151125.1;GCF_002240565.1;GCF_016907085.1;GCF_021216655.1;GCF_021922985.1
Collectotrichum gloeosporioides	N	
Colletotrichum graminicola	N	
Cryptocline cinerescens	N	
Curvularia spp.	N	
Cytospora spp.	N	
Dematophora necatrix	N	
Diplocarpon earlianum	N	
Diplocarpon rosae	N	
Diplodia quercina	N	
Discula fraxinea	N	
Drechslera iridis	N	
Elsinoe corni	N	
Elsinoe spp.	N	
Entomosporium spp.	N	
Erwinia amylovora	Y	GCF_017161565.1
Erwinia carotovora	N	
Erwinia nigrifluens	N	
Erwinia quercina	N	
Erwinia rubrifaciens	N	
Erwinia spp.	Y	GCA_016625195.1;GCF_000026185.1;GCF_000026985.1;GCF_000196615.1;GCF_000590885.1;GCF_000770305.1;GCF_000773975.1;GCF_001050515.1;GCF_001571305.1;GCF_002752165.1;GCF_003751505.1;GCF_003846135.1;GCF_003937915.1;GCF_009295515.1;GCF_009738185.1;GCF_012271765.1;GCF_014773485.1;GCF_014838825.1;GCF_017161565.1;GCF_018141005.1;GCF_019132875.1;GCF_021365465.1;GCF_900068895.1;GCF_900604315.1
Erysiphe cichoracearum	N	
Erysiphe cruciferarum	N	
Erysiphe graminis	N	
Erysiphe heraclei	N	
Erysiphe lagerstroemiae	N	
Erysiphe lycopersici	N	
Erysiphe necator	N	
Erysiphe pisi	N	
Erysiphe polygoni	N	
Eutypa lata	N	
Exobasidium spp.	N	
Fig mosaic emaravirus	N	
Fomes annosus	N	
Fusarium circinatum	N	
Fusarium oxysporum	N	
Fusarium solani	N	
Fusarium spp.	N	
Fusicladium (syn. Cladosporium) carpophilum	N	
Gaeumannomyces graminis var. avenae	N	
Ganoderma applanatum	N	
Ganoderma lucidum	N	
Gloesporium quercum	N	
Glomerella cingulata	N	
Gnomonia fragariae	N	
Gnomonia leptostyla	N	
Golovinomyces cichoracearum	N	
Gymnoconia nitens	N	
Gymnosporangium libocedri	N	
Hendersonula tortuloidea	N	
Heterobasidion annosum	N	
Heterosporium gracile	N	
Ilarvirus	N	
Kabatina juniperi	N	
Laetiporus sulphureus	N	
Laetisaria fuciformis	N	
Lettuce big vein virus	N	
Leveillula taurica	N	
MLOÂ Â	N	
Magnaporthe poae	N	
Maize dwarf mosaic virus	N	
Microdochium nivale	N	
Monilinia spp.	N	
Mycosphaerella brassicicola	N	
Mycosphaerella fragariae	N	
Mycosphaerella rubi	N	
Mycosphaerella spp.	N	
Nectria galligena	N	
Neofusicoccum spp.	N	
Ophiosphaerella korrae	N	
Ophiostoma ulmi	N	
Ovulinia azalea	N	
Penicillium spp.	N	
Peronospora destructor	N	
Peronospora farinosa	N	
Peronospora parasitica	N	
Peronospora sparsa	N	
Peronospora viciae f.sp. pisi	N	
Pestalotiopsis funerea	N	
Phaeoacremonium spp.	N	
Phoma spp.	N	
Phoma terrestris	N	
Phomopsis juniperovora	N	
Phomopsis obscurans	N	
Phomopsis spp.	N	
Phomopsis viticola	N	
Phragmidium mucronatum	N	
Phragmidium rubi-idaei	N	
Phyllosticta spp.	N	
Phyllosticta zinniae	N	
Phytophthora capsici	N	
Phytophthora cinnamomi	N	
Phytophthora infestans	N	
Phytophthora megasperma	N	
Phytophthora ramorum	N	
Phytophthora spp.	N	
Plasmodiophora brassicae	N	
Plasmopara (syn. Peronospora) spp.	N	
Plasmopara viticola	N	
Pleurotus ostreatus	N	
Podosphaera clandestina	N	
Podosphaera leucotricha	N	
Podosphaera pannosa	N	
Podosphaera tridactyla	N	
Potato leaf roll virus	N	
Pseudomonas gladioli	N	
Pseudomonas savastanoi pv. nerii	N	
Pseudomonas savastanoi pv. savastanoi	N	
