comparison,record_id,status,left_name,left_length,right_name,right_length,sequences_match,note
john_vs_opengenome,AOUM02000001.1,only_in_john,john,1369792,opengenome,,,missing from opengenome
john_vs_opengenome,AOUM02000001.1:0-1369792,only_in_opengenome,john,,opengenome,1369792,,missing from john
john_vs_opengenome,AOUM02000002.1,only_in_john,john,1242686,opengenome,,,missing from opengenome
john_vs_opengenome,AOUM02000002.1:0-1242686,only_in_opengenome,john,,opengenome,1242686,,missing from john
john_vs_opengenome,AOUM02000003.1,only_in_john,john,1100242,opengenome,,,missing from opengenome
john_vs_opengenome,AOUM02000003.1:0-65052,only_in_opengenome,john,,opengenome,65052,,missing from john
john_vs_opengenome,AOUM02000003.1:65132-1100242,only_in_opengenome,john,,opengenome,1035110,,missing from john
john_vs_opengenome,AOUM02000004.1,only_in_john,john,908392,opengenome,,,missing from opengenome
john_vs_opengenome,AOUM02000004.1:0-908392,only_in_opengenome,john,,opengenome,908392,,missing from john
john_vs_opengenome,AOUM02000005.1,only_in_john,john,873697,opengenome,,,missing from opengenome
john_vs_opengenome,AOUM02000005.1:7475-873697,only_in_opengenome,john,,opengenome,866222,,missing from john
john_vs_opengenome,AOUM02000006.1,only_in_john,john,856806,opengenome,,,missing from opengenome
john_vs_opengenome,AOUM02000006.1:0-856806,only_in_opengenome,john,,opengenome,856806,,missing from john
john_vs_opengenome,AOUM02000007.1,only_in_john,john,800219,opengenome,,,missing from opengenome
john_vs_opengenome,AOUM02000007.1:0-800219,only_in_opengenome,john,,opengenome,800219,,missing from john
john_vs_opengenome,AOUM02000008.1,only_in_john,john,789400,opengenome,,,missing from opengenome
john_vs_opengenome,AOUM02000008.1:0-789400,only_in_opengenome,john,,opengenome,789400,,missing from john
john_vs_opengenome,AOUM02000009.1,only_in_john,john,754770,opengenome,,,missing from opengenome
john_vs_opengenome,AOUM02000009.1:0-754770,only_in_opengenome,john,,opengenome,754770,,missing from john
john_vs_opengenome,AOUM02000010.1,only_in_john,john,748393,opengenome,,,missing from opengenome
john_vs_opengenome,AOUM02000010.1:0-748393,only_in_opengenome,john,,opengenome,748393,,missing from john
john_vs_opengenome,AOUM02000011.1,only_in_john,john,739237,opengenome,,,missing from opengenome
john_vs_opengenome,AOUM02000011.1:0-739237,only_in_opengenome,john,,opengenome,739237,,missing from john
john_vs_opengenome,AOUM02000012.1,only_in_john,john,714740,opengenome,,,missing from opengenome
john_vs_opengenome,AOUM02000012.1:0-714740,only_in_opengenome,john,,opengenome,714740,,missing from john
john_vs_opengenome,AOUM02000013.1,only_in_john,john,704243,opengenome,,,missing from opengenome
john_vs_opengenome,AOUM02000013.1:0-704243,only_in_opengenome,john,,opengenome,704243,,missing from john
john_vs_opengenome,AOUM02000014.1,only_in_john,john,695267,opengenome,,,missing from opengenome
john_vs_opengenome,AOUM02000014.1:0-695267,only_in_opengenome,john,,opengenome,695267,,missing from john
john_vs_opengenome,AOUM02000015.1,only_in_john,john,643131,opengenome,,,missing from opengenome
john_vs_opengenome,AOUM02000015.1:0-643131,only_in_opengenome,john,,opengenome,643131,,missing from john
john_vs_opengenome,AOUM02000016.1,only_in_john,john,624767,opengenome,,,missing from opengenome
john_vs_opengenome,AOUM02000016.1:0-624767,only_in_opengenome,john,,opengenome,624767,,missing from john
john_vs_opengenome,AOUM02000017.1,only_in_john,john,592339,opengenome,,,missing from opengenome
john_vs_opengenome,AOUM02000017.1:0-592339,only_in_opengenome,john,,opengenome,592339,,missing from john
john_vs_opengenome,AOUM02000018.1,only_in_john,john,559070,opengenome,,,missing from opengenome
john_vs_opengenome,AOUM02000018.1:0-559070,only_in_opengenome,john,,opengenome,559070,,missing from john
john_vs_opengenome,AOUM02000019.1,only_in_john,john,557292,opengenome,,,missing from opengenome
john_vs_opengenome,AOUM02000019.1:0-298549,only_in_opengenome,john,,opengenome,298549,,missing from john
john_vs_opengenome,AOUM02000019.1:299580-557292,only_in_opengenome,john,,opengenome,257712,,missing from john
john_vs_opengenome,AOUM02000020.1,only_in_john,john,546136,opengenome,,,missing from opengenome
john_vs_opengenome,AOUM02000020.1:0-387589,only_in_opengenome,john,,opengenome,387589,,missing from john
john_vs_opengenome,AOUM02000020.1:387614-546136,only_in_opengenome,john,,opengenome,158522,,missing from john
john_vs_opengenome,AOUM02000021.1,only_in_john,john,517113,opengenome,,,missing from opengenome
john_vs_opengenome,AOUM02000021.1:0-517113,only_in_opengenome,john,,opengenome,517113,,missing from john
john_vs_opengenome,AOUM02000022.1,only_in_john,john,510847,opengenome,,,missing from opengenome
john_vs_opengenome,AOUM02000022.1:0-510847,only_in_opengenome,john,,opengenome,510847,,missing from john
john_vs_opengenome,AOUM02000023.1,only_in_john,john,495509,opengenome,,,missing from opengenome
john_vs_opengenome,AOUM02000023.1:0-495509,only_in_opengenome,john,,opengenome,495509,,missing from john
