comparison,record_id,status,recreated_length,opengenome_length,sequences_match,note
john_vs_opengenome,N/A,not_applicable,,,,John-filtered FASTA not provided
recreated_vs_opengenome,NW_011887407.1:0-11575,shared_id_matching_sequence,11575,11575,True,
recreated_vs_opengenome,NW_011887408.1:0-12139,shared_id_matching_sequence,12139,12139,True,
recreated_vs_opengenome,NW_011887409.1:0-12213,shared_id_matching_sequence,12213,12213,True,
recreated_vs_opengenome,NW_011887410.1:0-12859,shared_id_matching_sequence,12859,12859,True,
recreated_vs_opengenome,NW_011887411.1:0-12881,shared_id_matching_sequence,12881,12881,True,
recreated_vs_opengenome,NW_011887412.1:0-14478,shared_id_matching_sequence,14478,14478,True,
recreated_vs_opengenome,NW_011887413.1:0-16820,shared_id_matching_sequence,16820,16820,True,
recreated_vs_opengenome,NW_011887415.1:0-15498,shared_id_matching_sequence,15498,15498,True,
recreated_vs_opengenome,NW_011887416.1:0-18255,shared_id_matching_sequence,18255,18255,True,
recreated_vs_opengenome,NW_011887417.1:0-20022,shared_id_matching_sequence,20022,20022,True,
recreated_vs_opengenome,NW_011887434.1:0-20358,shared_id_matching_sequence,20358,20358,True,
recreated_vs_opengenome,NW_011887436.1:0-15662,shared_id_matching_sequence,15662,15662,True,
recreated_vs_opengenome,NW_011887438.1:0-25692,shared_id_matching_sequence,25692,25692,True,
recreated_vs_opengenome,NW_011887439.1:0-25909,shared_id_matching_sequence,25909,25909,True,
recreated_vs_opengenome,NW_011887440.1:0-29684,shared_id_matching_sequence,29684,29684,True,
recreated_vs_opengenome,NW_011887441.1:0-30758,shared_id_matching_sequence,30758,30758,True,
recreated_vs_opengenome,NW_011887443.1:0-28017,shared_id_matching_sequence,28017,28017,True,
recreated_vs_opengenome,NW_011887447.1:0-15567,shared_id_matching_sequence,15567,15567,True,
recreated_vs_opengenome,NW_011887448.1:0-33004,shared_id_matching_sequence,33004,33004,True,
recreated_vs_opengenome,NW_011887449.1:0-32998,shared_id_matching_sequence,32998,32998,True,
recreated_vs_opengenome,NW_011887450.1:0-30755,shared_id_matching_sequence,30755,30755,True,
recreated_vs_opengenome,NW_011887452.1:0-34125,shared_id_matching_sequence,34125,34125,True,
recreated_vs_opengenome,NW_011887453.1:0-34220,shared_id_matching_sequence,34220,34220,True,
recreated_vs_opengenome,NW_011887454.1:0-38344,shared_id_matching_sequence,38344,38344,True,
recreated_vs_opengenome,NW_011887459.1:0-20383,shared_id_matching_sequence,20383,20383,True,
recreated_vs_opengenome,NW_011887460.1:0-12917,shared_id_matching_sequence,12917,12917,True,
recreated_vs_opengenome,NW_011887461.1:0-40193,shared_id_matching_sequence,40193,40193,True,
recreated_vs_opengenome,NW_011887462.1:0-41039,shared_id_matching_sequence,41039,41039,True,
recreated_vs_opengenome,NW_011887463.1:0-42151,shared_id_matching_sequence,42151,42151,True,
recreated_vs_opengenome,NW_011887464.1:0-43521,shared_id_matching_sequence,43521,43521,True,
recreated_vs_opengenome,NW_011887465.1:0-10654,shared_id_matching_sequence,10654,10654,True,
recreated_vs_opengenome,NW_011887466.1:0-33243,shared_id_matching_sequence,33243,33243,True,
recreated_vs_opengenome,NW_011887467.1:0-44333,shared_id_matching_sequence,44333,44333,True,
recreated_vs_opengenome,NW_011887468.1:0-45225,shared_id_matching_sequence,45225,45225,True,
recreated_vs_opengenome,NW_011887469.1:0-48067,shared_id_matching_sequence,48067,48067,True,
recreated_vs_opengenome,NW_011887470.1:0-28739,shared_id_matching_sequence,28739,28739,True,
recreated_vs_opengenome,NW_011887472.1:0-18984,shared_id_matching_sequence,18984,18984,True,
recreated_vs_opengenome,NW_011887473.1:0-12312,shared_id_matching_sequence,12312,12312,True,
recreated_vs_opengenome,NW_011887474.1:0-38764,shared_id_matching_sequence,38764,38764,True,
recreated_vs_opengenome,NW_011887476.1:0-46502,shared_id_matching_sequence,46502,46502,True,
recreated_vs_opengenome,NW_011887477.1:0-19803,shared_id_matching_sequence,19803,19803,True,
recreated_vs_opengenome,NW_011887478.1:0-33305,shared_id_matching_sequence,33305,33305,True,
recreated_vs_opengenome,NW_011887479.1:0-53423,shared_id_matching_sequence,53423,53423,True,
recreated_vs_opengenome,NW_011887480.1:0-15384,shared_id_matching_sequence,15384,15384,True,
recreated_vs_opengenome,NW_011887481.1:0-39026,shared_id_matching_sequence,39026,39026,True,
recreated_vs_opengenome,NW_011887483.1:0-55154,shared_id_matching_sequence,55154,55154,True,
recreated_vs_opengenome,NW_011887484.1:0-58481,shared_id_matching_sequence,58481,58481,True,
recreated_vs_opengenome,NW_011887486.1:0-56046,shared_id_matching_sequence,56046,56046,True,
recreated_vs_opengenome,NW_011887487.1:0-62160,shared_id_matching_sequence,62160,62160,True,
recreated_vs_opengenome,NW_011887488.1:0-63760,shared_id_matching_sequence,63760,63760,True,
recreated_vs_opengenome,NW_011887490.1:0-48131,shared_id_matching_sequence,48131,48131,True,
recreated_vs_opengenome,NW_011887492.1:0-12294,shared_id_matching_sequence,12294,12294,True,
recreated_vs_opengenome,NW_011887494.1:0-60635,shared_id_matching_sequence,60635,60635,True,
recreated_vs_opengenome,NW_011887495.1:0-69680,shared_id_matching_sequence,69680,69680,True,
recreated_vs_opengenome,NW_011887496.1:0-70013,shared_id_matching_sequence,70013,70013,True,
recreated_vs_opengenome,NW_011887498.1:0-74668,shared_id_matching_sequence,74668,74668,True,
recreated_vs_opengenome,NW_011887499.1:0-60172,shared_id_matching_sequence,60172,60172,True,
recreated_vs_opengenome,NW_011887500.1:0-15677,shared_id_matching_sequence,15677,15677,True,
recreated_vs_opengenome,NW_011887501.1:0-42745,shared_id_matching_sequence,42745,42745,True,
recreated_vs_opengenome,NW_011887502.1:0-37669,shared_id_matching_sequence,37669,37669,True,
recreated_vs_opengenome,NW_011887504.1:0-78668,shared_id_matching_sequence,78668,78668,True,
recreated_vs_opengenome,NW_011887505.1:0-82201,shared_id_matching_sequence,82201,82201,True,
recreated_vs_opengenome,NW_011887506.1:0-66308,shared_id_matching_sequence,66308,66308,True,
recreated_vs_opengenome,NW_011887507.1:0-18006,shared_id_matching_sequence,18006,18006,True,
recreated_vs_opengenome,NW_011887508.1:0-40621,shared_id_matching_sequence,40621,40621,True,
recreated_vs_opengenome,NW_011887509.1:0-44179,shared_id_matching_sequence,44179,44179,True,
recreated_vs_opengenome,NW_011887510.1:0-85258,shared_id_matching_sequence,85258,85258,True,
recreated_vs_opengenome,NW_011887511.1:0-36089,shared_id_matching_sequence,36089,36089,True,
recreated_vs_opengenome,NW_011887513.1:0-37451,shared_id_matching_sequence,37451,37451,True,
recreated_vs_opengenome,NW_011887516.1:0-88310,shared_id_matching_sequence,88310,88310,True,
recreated_vs_opengenome,NW_011887517.1:0-42404,shared_id_matching_sequence,42404,42404,True,
