comparison,record_id,status,left_name,left_length,right_name,right_length,sequences_match,note
john_vs_opengenome,JBBPTL010000001.1:0-66503,shared_id_matching_sequence,john,66503,opengenome,66503,True,
john_vs_opengenome,JBBPTL010000002.1:0-64415,shared_id_matching_sequence,john,64415,opengenome,64415,True,
john_vs_opengenome,JBBPTL010000003.1:0-62266,only_in_john,john,62266,opengenome,,,missing from opengenome
john_vs_opengenome,JBBPTL010000003.1:38072-50382,only_in_opengenome,john,,opengenome,12310,,missing from john
john_vs_opengenome,JBBPTL010000004.1:0-58420,only_in_john,john,58420,opengenome,,,missing from opengenome
john_vs_opengenome,JBBPTL010000004.1:34875-53500,only_in_opengenome,john,,opengenome,18625,,missing from john
john_vs_opengenome,JBBPTL010000005.1:0-54560,only_in_john,john,54560,opengenome,,,missing from opengenome
john_vs_opengenome,JBBPTL010000005.1:1834-54560,only_in_opengenome,john,,opengenome,52726,,missing from john
john_vs_opengenome,JBBPTL010000006.1:0-53454,shared_id_matching_sequence,john,53454,opengenome,53454,True,
john_vs_opengenome,JBBPTL010000007.1:0-53113,shared_id_matching_sequence,john,53113,opengenome,53113,True,
john_vs_opengenome,JBBPTL010000008.1:0-52418,only_in_john,john,52418,opengenome,,,missing from opengenome
john_vs_opengenome,JBBPTL010000008.1:22449-34327,only_in_opengenome,john,,opengenome,11878,,missing from john
john_vs_opengenome,JBBPTL010000008.1:3534-18885,only_in_opengenome,john,,opengenome,15351,,missing from john
john_vs_opengenome,JBBPTL010000009.1:0-51236,shared_id_matching_sequence,john,51236,opengenome,51236,True,
john_vs_opengenome,JBBPTL010000010.1:0-23373,only_in_opengenome,john,,opengenome,23373,,missing from john
john_vs_opengenome,JBBPTL010000010.1:0-51011,only_in_john,john,51011,opengenome,,,missing from opengenome
john_vs_opengenome,JBBPTL010000010.1:23383-51011,only_in_opengenome,john,,opengenome,27628,,missing from john
john_vs_opengenome,JBBPTL010000011.1:0-50509,shared_id_matching_sequence,john,50509,opengenome,50509,True,
john_vs_opengenome,JBBPTL010000012.1:0-15399,only_in_opengenome,john,,opengenome,15399,,missing from john
john_vs_opengenome,JBBPTL010000012.1:0-48508,only_in_john,john,48508,opengenome,,,missing from opengenome
john_vs_opengenome,JBBPTL010000012.1:15497-29270,only_in_opengenome,john,,opengenome,13773,,missing from john
john_vs_opengenome,JBBPTL010000013.1:0-47959,shared_id_matching_sequence,john,47959,opengenome,47959,True,
john_vs_opengenome,JBBPTL010000014.1:0-44122,shared_id_matching_sequence,john,44122,opengenome,44122,True,
john_vs_opengenome,JBBPTL010000015.1:0-43462,only_in_john,john,43462,opengenome,,,missing from opengenome
john_vs_opengenome,JBBPTL010000016.1:0-43432,shared_id_matching_sequence,john,43432,opengenome,43432,True,
john_vs_opengenome,JBBPTL010000017.1:0-43431,shared_id_matching_sequence,john,43431,opengenome,43431,True,
john_vs_opengenome,JBBPTL010000018.1:0-42879,shared_id_matching_sequence,john,42879,opengenome,42879,True,
john_vs_opengenome,JBBPTL010000019.1:0-22067,only_in_opengenome,john,,opengenome,22067,,missing from john
john_vs_opengenome,JBBPTL010000019.1:0-41621,only_in_john,john,41621,opengenome,,,missing from opengenome
john_vs_opengenome,JBBPTL010000019.1:30185-41621,only_in_opengenome,john,,opengenome,11436,,missing from john
john_vs_opengenome,JBBPTL010000020.1:0-40792,only_in_john,john,40792,opengenome,,,missing from opengenome
john_vs_opengenome,JBBPTL010000020.1:3297-23385,only_in_opengenome,john,,opengenome,20088,,missing from john
john_vs_opengenome,JBBPTL010000021.1:0-40739,only_in_john,john,40739,opengenome,,,missing from opengenome
john_vs_opengenome,JBBPTL010000021.1:17215-34314,only_in_opengenome,john,,opengenome,17099,,missing from john
john_vs_opengenome,JBBPTL010000022.1:0-39509,only_in_john,john,39509,opengenome,,,missing from opengenome
john_vs_opengenome,JBBPTL010000022.1:2975-22507,only_in_opengenome,john,,opengenome,19532,,missing from john
john_vs_opengenome,JBBPTL010000023.1:0-39166,shared_id_matching_sequence,john,39166,opengenome,39166,True,
john_vs_opengenome,JBBPTL010000024.1:0-38862,shared_id_matching_sequence,john,38862,opengenome,38862,True,
john_vs_opengenome,JBBPTL010000025.1:0-38827,shared_id_matching_sequence,john,38827,opengenome,38827,True,
john_vs_opengenome,JBBPTL010000026.1:0-38597,shared_id_matching_sequence,john,38597,opengenome,38597,True,
john_vs_opengenome,JBBPTL010000027.1:0-37394,only_in_john,john,37394,opengenome,,,missing from opengenome
john_vs_opengenome,JBBPTL010000027.1:10292-25180,only_in_opengenome,john,,opengenome,14888,,missing from john
john_vs_opengenome,JBBPTL010000028.1:0-37149,shared_id_matching_sequence,john,37149,opengenome,37149,True,
john_vs_opengenome,JBBPTL010000029.1:0-16342,only_in_opengenome,john,,opengenome,16342,,missing from john
john_vs_opengenome,JBBPTL010000029.1:0-37149,only_in_john,john,37149,opengenome,,,missing from opengenome
john_vs_opengenome,JBBPTL010000029.1:16352-37149,only_in_opengenome,john,,opengenome,20797,,missing from john
john_vs_opengenome,JBBPTL010000030.1:0-36461,shared_id_matching_sequence,john,36461,opengenome,36461,True,
john_vs_opengenome,JBBPTL010000031.1:0-21445,only_in_opengenome,john,,opengenome,21445,,missing from john
john_vs_opengenome,JBBPTL010000031.1:0-36221,only_in_john,john,36221,opengenome,,,missing from opengenome
john_vs_opengenome,JBBPTL010000032.1:0-36113,shared_id_matching_sequence,john,36113,opengenome,36113,True,
john_vs_opengenome,JBBPTL010000033.1:0-35335,shared_id_matching_sequence,john,35335,opengenome,35335,True,
john_vs_opengenome,JBBPTL010000034.1:0-34954,shared_id_matching_sequence,john,34954,opengenome,34954,True,
john_vs_opengenome,JBBPTL010000035.1:0-33820,only_in_john,john,33820,opengenome,,,missing from opengenome
john_vs_opengenome,JBBPTL010000035.1:13901-26022,only_in_opengenome,john,,opengenome,12121,,missing from john
john_vs_opengenome,JBBPTL010000036.1:0-33604,only_in_john,john,33604,opengenome,,,missing from opengenome
john_vs_opengenome,JBBPTL010000037.1:0-33464,shared_id_matching_sequence,john,33464,opengenome,33464,True,
john_vs_opengenome,JBBPTL010000038.1:0-33296,only_in_john,john,33296,opengenome,,,missing from opengenome
john_vs_opengenome,JBBPTL010000039.1:0-33296,shared_id_matching_sequence,john,33296,opengenome,33296,True,
john_vs_opengenome,JBBPTL010000040.1:0-33023,shared_id_matching_sequence,john,33023,opengenome,33023,True,
john_vs_opengenome,JBBPTL010000041.1:0-32978,only_in_john,john,32978,opengenome,,,missing from opengenome
john_vs_opengenome,JBBPTL010000042.1:0-32843,shared_id_matching_sequence,john,32843,opengenome,32843,True,
john_vs_opengenome,JBBPTL010000043.1:0-32573,shared_id_matching_sequence,john,32573,opengenome,32573,True,
john_vs_opengenome,JBBPTL010000044.1:0-32200,shared_id_matching_sequence,john,32200,opengenome,32200,True,
john_vs_opengenome,JBBPTL010000045.1:0-32097,only_in_john,john,32097,opengenome,,,missing from opengenome
john_vs_opengenome,JBBPTL010000045.1:20233-32097,only_in_opengenome,john,,opengenome,11864,,missing from john
john_vs_opengenome,JBBPTL010000045.1:3056-20136,only_in_opengenome,john,,opengenome,17080,,missing from john
john_vs_opengenome,JBBPTL010000046.1:0-22172,only_in_opengenome,john,,opengenome,22172,,missing from john
john_vs_opengenome,JBBPTL010000046.1:0-32005,only_in_john,john,32005,opengenome,,,missing from opengenome
john_vs_opengenome,JBBPTL010000047.1:0-31869,shared_id_matching_sequence,john,31869,opengenome,31869,True,
john_vs_opengenome,JBBPTL010000048.1:0-31191,shared_id_matching_sequence,john,31191,opengenome,31191,True,
john_vs_opengenome,JBBPTL010000049.1:0-31190,only_in_john,john,31190,opengenome,,,missing from opengenome
john_vs_opengenome,JBBPTL010000049.1:14900-25420,only_in_opengenome,john,,opengenome,10520,,missing from john
john_vs_opengenome,JBBPTL010000050.1:0-30926,only_in_john,john,30926,opengenome,,,missing from opengenome
john_vs_opengenome,JBBPTL010000051.1:0-30538,shared_id_matching_sequence,john,30538,opengenome,30538,True,
john_vs_opengenome,JBBPTL010000052.1:0-30493,shared_id_matching_sequence,john,30493,opengenome,30493,True,
john_vs_opengenome,JBBPTL010000053.1:0-30400,only_in_john,john,30400,opengenome,,,missing from opengenome
john_vs_opengenome,JBBPTL010000054.1:0-29271,shared_id_matching_sequence,john,29271,opengenome,29271,True,
john_vs_opengenome,JBBPTL010000055.1:0-28989,only_in_john,john,28989,opengenome,,,missing from opengenome
john_vs_opengenome,JBBPTL010000055.1:15418-27721,only_in_opengenome,john,,opengenome,12303,,missing from john
john_vs_opengenome,JBBPTL010000055.1:1722-15320,only_in_opengenome,john,,opengenome,13598,,missing from john
john_vs_opengenome,JBBPTL010000056.1:0-28553,only_in_john,john,28553,opengenome,,,missing from opengenome
john_vs_opengenome,JBBPTL010000057.1:0-28541,only_in_john,john,28541,opengenome,,,missing from opengenome
john_vs_opengenome,JBBPTL010000058.1:0-28184,only_in_john,john,28184,opengenome,,,missing from opengenome
john_vs_opengenome,JBBPTL010000059.1:0-27995,only_in_john,john,27995,opengenome,,,missing from opengenome
john_vs_opengenome,JBBPTL010000059.1:12684-27995,only_in_opengenome,john,,opengenome,15311,,missing from john
john_vs_opengenome,JBBPTL010000060.1:0-27897,only_in_john,john,27897,opengenome,,,missing from opengenome
john_vs_opengenome,JBBPTL010000060.1:2099-16141,only_in_opengenome,john,,opengenome,14042,,missing from john
